word,mean_z_real,mean_z_generated,z_difference_generated_minus_real,abs_z_difference
со,0.17946720429927573,-0.17556574333624778,-0.3550329476355235,0.3550329476355235
понятия,-0.1792258956852517,0.1753296805616594,0.35455557624691114,0.35455557624691114
следует,0.17492847971549613,-0.1711256866782028,-0.3460541663936989,0.3460541663936989
она,-0.17249271551392792,0.1687428738723209,0.3412355893862488,0.3412355893862488
а,-0.1676916942452344,0.164046222631207,0.3317379168764414,0.3317379168764414
более,-0.16638826152624403,0.16277112540610822,0.32915938693235225,0.32915938693235225
без,-0.1659779356631077,0.16236971967043148,0.32834765533353916,0.32834765533353916
при,0.16536379574838722,-0.1617689306234222,-0.32713272637180946,0.32713272637180946
слова,0.16459572933611255,-0.1610175613070665,-0.325613290643179,0.325613290643179
связь,-0.15980190057902888,0.1563279462186152,0.3161298467976441,0.3161298467976441
использование,-0.15955439100232344,0.156085817284882,0.3156402082872054,0.3156402082872054
области,0.15757948255519455,-0.15415384163008167,-0.3117333241852762,0.3117333241852762
зрения,0.1558342628785217,-0.1524465615115973,-0.308280824390119,0.308280824390119
он,-0.1551551885528238,0.15178224967124104,0.30693743822406483,0.30693743822406483
связи,0.15351860744976303,-0.15018124641824648,-0.3036998538680095,0.3036998538680095
только,0.1507901227324673,-0.1475120765861096,-0.29830219931857693,0.29830219931857693
характер,0.1492282370022763,-0.14598414489353126,-0.29521238189580756,0.29521238189580756
что,-0.1481964680485183,0.14497480569963755,0.2931712737481559,0.2931712737481559
с,0.14622531571164618,-0.14304650450052336,-0.2892718202121696,0.2892718202121696
лишь,-0.14532751453142043,0.14216822073725927,0.28749573526867966,0.28749573526867966
признаки,0.14504085530691238,-0.14188779323502293,-0.28692864854193534,0.28692864854193534
the,0.1449989950870258,-0.1418468430199165,-0.2868458381069423,0.2868458381069423
описания,-0.14358411690353917,0.14046272305780994,0.2840468399613491,0.2840468399613491
другой,-0.13727502898456398,0.13429078922402995,0.27156581820859393,0.27156581820859393
несколько,-0.13156527986290378,0.12870516508327537,0.2602704449461791,0.2602704449461791
дискурса,0.1293301239221891,-0.12651859948909808,-0.25584872341128717,0.25584872341128717
то,0.12805198323135764,-0.12526824446545823,-0.25332022769681584,0.25332022769681584
за,0.1270836592228252,-0.12432097097885066,-0.25140463020167586,0.25140463020167586
различных,0.1264378694746982,-0.12368922013829181,-0.25012708961299,0.25012708961299
языков,0.12634068733899576,-0.12359415065771331,-0.24993483799670907,0.24993483799670907
том,0.12260404438235245,-0.11993873906969268,-0.24254278345204514,0.24254278345204514
ситуации,0.12234220978076125,-0.11968259652465793,-0.24202480630541917,0.24202480630541917
роли,-0.1218451435138496,0.11919633604615729,0.24104147956000688,0.24104147956000688
есть,0.12038049144253342,-0.11776352423726111,-0.23814401567979454,0.23814401567979454
на,0.11883492998507518,-0.11625156194192125,-0.23508649192699643,0.23508649192699643
of,0.1165890061278324,-0.11405446251635773,-0.23064346864419014,0.23064346864419014
рамках,0.11304013810249992,-0.11058274379592371,-0.22362288189842364,0.22362288189842364
значения,0.11276895570927732,-0.11031745667211901,-0.22308641238139632,0.22308641238139632
слов,0.10994822021509786,-0.10755804151476955,-0.21750626172986742,0.21750626172986742
дискурс,-0.10967894497154958,0.1072946200808637,0.21697356505241328,0.21697356505241328
себя,0.10380362510382699,-0.10154702455809195,-0.20535064966191893,0.20535064966191893
основе,0.10367297491427555,-0.10141921459005186,-0.2050921895043274,0.2050921895043274
по,0.10056211568587842,-0.09837598273618518,-0.19893809842206361,0.19893809842206361
ее,0.09931014698382185,-0.0971512307450433,-0.19646137772886513,0.19646137772886513
мы,0.099238757719416,-0.09708139342116766,-0.19632015114058365,0.19632015114058365
структуры,0.09545652464530098,-0.09338138280518571,-0.18883790745048668,0.18883790745048668
переводе,-0.09525064419946325,0.09317997802121407,0.1884306222206773,0.1884306222206773
других,0.09463167002367638,-0.09257445980577043,-0.18720612982944682,0.18720612982944682
действия,0.09372425708967755,-0.091686773239902,-0.18541103032957956,0.18541103032957956
данных,0.09345132454660708,-0.09141977401298504,-0.1848710985595921,0.1848710985595921
см,0.09226616266677254,-0.09026037652184264,-0.18252653918861517,0.18252653918861517
текст,-0.09204560721949796,0.09004461575820472,0.18209022297770266,0.18209022297770266
именно,-0.09153167705872024,0.0895418579922268,0.18107353505094703,0.18107353505094703
быть,0.09022640380926639,-0.0882649602481954,-0.1784913640574618,0.1784913640574618
под,0.08993590638246919,-0.08798077798284995,-0.17791668436531916,0.17791668436531916
когда,-0.08600324148317638,0.0841336057987599,0.1701368472819363,0.1701368472819363
языке,0.08495414743324861,-0.08310731814122171,-0.16806146557447033,0.16806146557447033
разных,0.0832546633383305,-0.0814447793527147,-0.1646994426910452,0.1646994426910452
также,-0.083197632124379,0.08138898794776253,0.16458662007214153,0.16458662007214153
стратегия,-0.08285676824311086,0.08105553415086933,0.1639123023939802,0.1639123023939802
все,0.08236196212714558,-0.08057148468959885,-0.16293344681674443,0.16293344681674443
стратегии,-0.07938653750441572,0.07766074321084149,0.1570472807152572,0.1570472807152572
который,0.07628809522646485,-0.07462965837371517,-0.15091775360018,0.15091775360018
чтобы,-0.07554850371537429,0.07390614493895298,0.14945464865432728,0.14945464865432728
если,0.07498315843140069,-0.07335308976984838,-0.14833624820124908,0.14833624820124908
даже,-0.07491537410589524,0.07328677901663674,0.148202153122532,0.148202153122532
от,0.07451945515651699,-0.0728994670009404,-0.1474189221574574,0.1474189221574574
д,0.07344607623458371,-0.07184942240339716,-0.14529549863798086,0.14529549863798086
представляет,-0.07247739577941836,0.070901800218996,0.14337919599841437,0.14337919599841437
метафоры,-0.07071734679183699,0.06918001316592759,0.1398973599577646,0.1398973599577646
внимание,-0.07056235646881574,0.06902839219775476,0.1395907486665705,0.1395907486665705
перевода,-0.06158741912778151,0.060248562190221004,0.12183598131800252,0.12183598131800252
игры,0.05958209260203928,-0.05828682971938629,-0.11786892232142557,0.11786892232142557
